radar,track_number,utctimestr,gps_epoch,CntrdLatRng,CntrdLatRRat,CntrdLatAcel,CntrdLngRng,CntrdLngRRat,CntrdLngAcel,CoNrstFcLatRng,CoNrstFcLatRRat,CoNrstFcLatAcel,CoNrstFcLngRng,CoNrstFcLngRRat,CoNrstFcLngAcel,NrstFacTyp,Width,DynamProp,MeasStat,ObjElevtn,ObjID,BurstID,CntrdHeight,RTK_X_M,RTK_Y_M,RTK_Z_M,RTK_EASTING_M,RTK_NORTHING_M,RTK_ALT_M
LF,2,2017-May-19 10:24:27.245234450,1495189485.2452345,6.2999999999999998,-1.5,-6.25,5.29,6.5,2.5,6.3899999999999997,-1.875,-6.25,3.3199999999999998,6.5,2.5,0,1.6000000000000001,3,3,3,11.0,-1,1.0,5.7400000000000002,6.2069999999999999,-0.84400000000000008,300016.79040226695,4701258.551288194,247.83213110926505
LF,3,2017-May-19 10:24:27.245234450,1495189485.2452345,10.1,4.125,-6.0,35.479999999999997,12.125,5.5,10.16,3.875,-6.0,33.5,12.125,5.5,0,1.74,3,3,3,6.0,-1,1.0,35.93,10.007,-0.84400000000000008,300000.57154650113,4701284.2781381514,246.85539730059378
LF,1,2017-May-19 10:24:27.285231650,1495189485.2852316,3.6899999999999999,1.75,-7.625,27.780000000000001,12.5,4.875,3.7799999999999998,1.5,-7.625,25.809999999999999,12.5,4.875,0,1.5800000000000001,3,3,3,5.0,-1,1.0,28.23,3.597,-0.84400000000000008,300009.50453479524,4701280.7391249826,247.14532461463884
LF,2,2017-May-19 10:24:27.285231650,1495189485.2852316,6.1900000000000004,-1.875,-6.625,5.5599999999999996,6.5,2.375,6.3099999999999996,-2.25,-6.625,3.6000000000000001,6.375,2.375,0,1.6000000000000001,3,3,3,11.0,-1,1.0,6.0099999999999998,6.0970000000000004,-0.84400000000000008,300016.51629023615,4701259.5180373956,247.8375148072447
LF,3,2017-May-19 10:24:27.285231650,1495189485.2852316,10.16,3.875,-6.125,35.979999999999997,12.375,5.75,10.23,3.5,-6.125,34.0,12.375,5.75,0,1.74,3,3,3,6.0,-1,1.0,36.43,10.067,-0.84400000000000008,300000.20163074118,4701285.4795738813,246.85374203803036
LF,1,2017-May-19 10:24:27.325228850,1495189485.3252289,3.6699999999999999,1.375,-7.75,28.25,12.625,4.875,3.79,1.125,-7.75,26.289999999999999,12.625,4.875,0,1.5800000000000001,3,3,3,5.0,-1,1.0,28.699999999999999,3.577,-0.84400000000000008,300009.20197899011,4701281.896037613,247.13771107953053
LF,2,2017-May-19 10:24:27.325228850,1495189485.3252289,6.0,-2.0,-6.625,6.1100000000000003,6.5,2.375,6.1399999999999997,-2.375,-6.625,4.1600000000000001,6.375,2.375,0,1.5800000000000001,3,3,3,11.0,-1,1.0,6.5600000000000005,5.907,-0.84400000000000008,300016.20742784702,4701260.7760727983,247.83000620202188
LF,3,2017-May-19 10:24:27.325228850,1495189485.3252289,10.210000000000001,3.5,-6.25,36.490000000000002,12.5,5.875,10.289999999999999,3.125,-6.25,34.509999999999998,12.5,5.875,0,1.74,3,3,3,6.0,-1,1.0,36.940000000000005,10.117000000000001,-0.84400000000000008,299999.84761700296,4701286.7000115886,246.84284525247094
LF,1,2017-May-19 10:24:27.365226000,1495189485.365226,3.6400000000000001,1.0,-8.0,28.739999999999998,12.625,5.0,3.7799999999999998,0.625,-8.0,26.789999999999999,12.625,5.0,0,1.5800000000000001,3,3,3,5.0,-1,1.0,29.189999999999998,3.5470000000000002,-0.84400000000000008,300008.90854722832,4701283.0792210242,247.13165004018288
LF,2,2017-May-19 10:24:27.365226000,1495189485.365226,5.8099999999999996,-2.25,-6.75,6.4199999999999999,6.5,2.25,5.9699999999999998,-2.5,-6.75,4.46,6.375,2.25,0,1.5800000000000001,3,3,3,11.0,-1,1.0,6.8700000000000001,5.7169999999999996,-0.84400000000000008,300016.00584541744,4701261.8182115247,247.83103083429523
