# CoordinateSystem: COMPD_CS["SWEREF99 TM + RH2000 height",PROJCS["SWEREF99 TM",GEOGCS["SWEREF99",DATUM["SWEREF99",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6619"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4619"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",15],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3006"]],VERT_CS["RH2000 height",VERT_DATUM["Rikets hojdsystem 2000",2005,AUTHORITY["EPSG","5208"]],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","5613"]],AUTHORITY["EPSG","5845"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Omega	Phi	Kappa
C_DJI_0437.JPG	322001.850617	6417366.590692	42.742279	-54.556570	-54.457965	-149.921107
C_DJI_0438.JPG	322001.394079	6417365.822766	42.682266	-54.062147	-54.945279	-149.315320
C_DJI_0439.JPG	322000.802635	6417364.987249	42.712251	-53.978288	-55.026201	-149.212928
C_DJI_0440.JPG	321999.405937	6417362.756024	42.732212	-54.228609	-54.783177	-149.518869
C_DJI_0441.JPG	321998.919049	6417362.214642	42.742200	-54.228609	-54.783177	-149.518869
C_DJI_0442.JPG	321998.224076	6417359.675792	42.742168	-53.809300	-55.187786	-149.006902
C_DJI_0443.JPG	321997.614899	6417358.534482	42.722149	-53.978288	-55.026201	-149.212928
C_DJI_0445.JPG	321997.121502	6417355.758144	42.792116	-54.228609	-54.783177	-149.518869
C_DJI_0446.JPG	321996.791803	6417355.398193	42.742109	-54.228609	-54.783177	-149.518869
C_DJI_0447.JPG	321995.775245	6417353.833490	42.732081	-54.062147	-54.945279	-149.315320
C_DJI_0448.JPG	321994.718840	6417352.830204	42.752058	-53.724167	-55.268448	-148.903261
C_DJI_0449.JPG	321994.208838	6417351.768106	42.752041	-53.894007	-55.107037	-149.110123
C_DJI_0450.JPG	321994.084456	6417351.763593	42.752040	-54.145587	-54.864270	-149.417299
C_DJI_0451.JPG	321994.221342	6417351.715154	40.632041	-53.978288	-55.026201	-149.212928
